Year,Month,MKT,ME,I/A,ROE
1995,9,3.21,-0.78,1.87,1.43
1995,10,-1.60,-5.02,0.76,2.81
1995,11,3.86,-0.76,1.15,-0.23
1995,12,1.03,0.62,3.11,0.32
1996,1,2.39,-2.63,2.49,-1.44
1996,2,1.24,2.73,-0.97,3.13
1996,3,0.70,1.85,-0.64,0.26
1996,4,2.09,5.15,-1.72,2.84
1996,5,2.28,4.44,1.11,1.86
1996,6,-1.23,-4.29,1.71,0.87
1996,7,-5.83,-3.35,2.00,2.39
1996,8,2.83,2.46,-1.81,0.14
1996,9,4.87,-1.44,-1.75,2.19
1996,10,0.95,-2.41,3.64,1.90
1996,11,6.16,-3.54,-1.29,0.82
1996,12,-1.58,3.33,1.21,0.96
1997,1,4.95,-0.81,-0.63,1.78
1997,2,-0.49,-2.47,2.94,-1.55
1997,3,-4.92,-0.53,1.80,1.79
1997,4,3.81,-4.73,-1.88,3.96
1997,5,6.74,5.01,-3.23,-0.25
1997,6,4.04,1.02,0.24,2.15
1997,7,7.22,-1.40,-2.99,1.33
1997,8,-4.03,7.48,-0.76,-1.42
1997,9,5.39,2.39,-0.07,-1.02
1997,10,-3.83,-1.08,2.62,-1.06
1997,11,2.66,-5.53,2.89,1.42
1997,12,1.32,-2.27,2.28,1.64
1998,1,0.03,-1.19,-1.19,2.21
1998,2,6.95,1.07,-2.49,1.13
1998,3,4.68,-0.37,0.55,-0.30
1998,4,0.66,0.48,0.19,-0.19
1998,5,-2.96,-2.63,2.26,1.77
1998,6,2.79,-3.31,-1.47,3.21
1998,7,-2.72,-5.70,1.88,0.98
1998,8,-16.19,-6.20,5.44,3.05
1998,9,6.00,-2.06,-3.07,-1.82
1998,10,7.10,-2.16,-0.95,0.63
1998,11,5.88,0.89,-0.02,1.37
1998,12,5.93,-1.88,-2.95,2.93
1999,1,3.50,-1.89,-4.46,-3.25
1999,2,-4.15,-4.23,4.82,0.01
1999,3,3.39,-5.60,0.31,-0.69
1999,4,4.53,3.98,2.65,-5.16
1999,5,-2.42,4.94,0.44,0.67
1999,6,4.67,3.15,-2.12,2.39
1999,7,-3.44,2.23,3.35,0.96
1999,8,-1.39,-1.55,-1.17,-0.01
1999,9,-2.66,1.77,-1.33,-0.13
1999,10,5.86,-5.68,0.34,2.05
1999,11,3.30,5.73,-3.90,-2.97
1999,12,8.00,4.18,-5.50,-5.45
2000,1,-4.40,5.64,2.87,-5.06
2000,2,2.75,22.13,-5.40,-7.53
2000,3,4.91,-14.39,1.82,7.67
2000,4,-6.41,-4.87,3.80,8.70
2000,5,-4.37,-4.62,0.55,0.05
2000,6,4.79,10.27,-3.42,-4.77
2000,7,-2.25,0.99,2.25,3.43
2000,8,7.00,0.42,-0.80,-2.05
2000,9,-5.62,1.63,5.24,2.09
2000,10,-2.97,-2.23,2.94,7.34
2000,11,-10.73,1.53,7.48,10.38
2000,12,1.55,4.68,6.35,5.19
2001,1,3.44,2.74,-7.16,-10.82
2001,2,-10.28,2.88,9.25,5.16
2001,3,-7.47,2.96,3.76,3.45
2001,4,8.00,-0.91,-3.77,0.07
2001,5,0.73,4.38,2.34,-2.55
2001,6,-2.03,6.68,-1.77,-0.75
2001,7,-2.13,-2.11,1.36,3.95
2001,8,-6.20,2.37,5.63,4.31
2001,9,-9.42,-4.94,2.89,9.22
2001,10,2.57,3.50,-3.00,-4.42
2001,11,7.70,-1.38,-1.14,-8.51
2001,12,1.64,5.33,-0.20,0.53
2002,1,-1.74,0.73,3.26,0.30
2002,2,-2.30,-0.50,4.45,5.33
2002,3,4.33,4.63,0.76,-4.73
2002,4,-5.12,7.59,4.07,5.46
2002,5,-1.20,-3.19,2.20,1.82
2002,6,-7.16,3.57,3.54,4.93
2002,7,-8.27,-6.39,1.97,6.71
2002,8,0.66,-0.02,-0.86,2.49
2002,9,-10.14,3.14,-2.14,4.42
2002,10,7.36,-5.15,0.29,-4.64
2002,11,6.01,1.50,3.27,-11.18
2002,12,-5.44,0.07,-2.26,5.32
2003,1,-2.43,-0.98,0.69,-0.60
2003,2,-1.63,-2.03,-0.13,0.91
2003,3,0.93,1.40,-0.12,3.41
2003,4,8.18,2.36,1.04,-4.46
2003,5,6.26,3.82,1.84,-8.23
